Year,Month,US_Gateway_AirportCode,Foreign_Gateway_AirportCode,carriergroup,Total
2015,11,TEB,FAB,0,1
2015,11,TEB,GVA,0,5
2015,11,TEB,KEF,0,2
2015,11,TEB,LBG,0,2
2015,11,TEB,LBG,0,2
2015,11,TEB,LBG,0,2
2015,11,TEB,LBG,0,20
2015,11,TEB,LED,0,5
2015,11,TEB,LTN,0,6
2015,11,TEB,LTN,0,1
2015,11,TEB,LYX,0,1
2015,11,TEB,MAD,0,8
2015,11,TEB,MAN,0,4
2015,11,TEB,MXP,0,6
2015,11,TEB,NAS,0,10
2015,11,TEB,NHT,0,2
2015,11,TEB,NTE,0,4
2015,11,TEB,RAK,0,8
2015,11,TEB,SCQ,0,4
2015,11,TEB,SNN,0,4
2015,11,TEB,SXF,0,4
2015,11,TEB,TLC,1,12
2015,11,TEB,VLC,0,8
2015,11,TEB,YUL,0,4
2015,11,TEB,YVR,1,8
2015,11,TEB,YXU,0,4
2015,11,TEB,YYZ,0,48
2015,11,TEB,ZRH,0,1
2015,11,TMB,YYZ,0,5
2015,11,TPA,HAV,1,1097
2015,11,TPA,HAV,1,1778
2015,11,TPA,HAV,1,1971
2015,11,TPA,SNU,1,1008
2015,11,TUS,YYZ,0,12
2015,11,TYS,FPO,1,329
2015,11,YIP,NAS,1,103
2015,11,ZZZ,YYJ,1,2
2015,12,1B1,YYZ,0,3
2015,12,AEX,SAL,1,270
2015,12,AEX,SAP,1,111
2015,12,AGS,YYZ,0,4
2015,12,ANC,HKG,0,1
2015,12,ANC,YXY,1,45
2015,12,AUZ,YYZ,0,5
2015,12,AZA,GUA,1,768
2015,12,AZA,MEX,1,120
2015,12,AZA,SAL,1,157
2015,12,AZA,SAP,1,114
2015,12,AZO,NAS,1,418
2015,12,BDL,VLC,0,6
2015,12,BED,YUL,1,102
2015,12,BED,YVR,1,48
2015,12,BFI,SNN,0,4
2015,12,BFI,YCD,1,15
2015,12,BFI,YVR,0,92
2015,12,BGR,FKB,0,6
2015,12,BGR,LGW,0,2
2015,12,BGR,LTN,0,25
2015,12,BGR,MAD,0,3
2015,12,BGR,SNN,0,4
2015,12,IFP,YEG,1,316
2015,12,IFP,YYC,1,317
2015,12,BHM,MAD,0,3
2015,12,BLI,YVR,0,12
2015,12,BNA,CUN,1,202
2015,12,BNA,NAS,1,270
2015,12,BNA,YYC,0,52
2015,12,BOI,YYC,0,3
2015,1,DTW,CUN,0,157
2015,1,DTW,CUN,1,2113
2015,1,DTW,PUJ,1,1367
2015,12,BOS,GSE,0,1
2015,12,BOS,GVA,0,2
2015,12,BOS,LTN,0,6
2015,12,BOS,TER,0,1562
2015,12,BOS,YEG,0,48
2015,12,BOS,YOW,0,88
2015,12,BOS,YOW,1,90
2015,12,BOS,YYT,0,1
2015,12,BOS,YYZ,0,3
2015,12,BRO,GUA,1,1013
2015,12,BRO,PLS,1,6
2015,12,BRO,SAP,1,518
2015,12,BUF,YEG,1,48
2015,12,BUF,YOW,1,45
2015,12,BUF,YYC,1,50
2015,12,BUR,ANU,1,4
2015,12,BUR,ELH,1,22
2015,12,BUR,SJD,1,12
2015,12,BWI,CUN,1,156
2015,12,BWI,PUJ,1,438
2015,12,BZN,SJD,1,5
2015,12,CAE,YYZ,0,4
2015,12,CHS,YYZ,0,6
2015,12,CLE,CUN,1,85
2015,12,CLE,PUJ,1,370
2015,12,CLT,YYZ,1,81
2015,12,CMH,YYZ,1,50
2015,12,CPR,YQR,0,6
2015,12,CPR,YYZ,0,4
2015,12,CPS,YYZ,0,41
2015,12,CVG,CUN,0,1028
2015,12,CVG,PUJ,1,103
2015,12,CVG,PUJ,0,1312
2015,12,CVG,YYZ,0,4
2015,12,DAL,BGI,0,6
2015,12,DAL,YUL,0,52
2015,12,DEN,YEG,0,45
2015,12,DLH,ZRH,0,4
2015,12,DTW,YYC,0,47
2015,12,ELP,GUA,1,128
2015,12,ELP,MEX,1,1511
2015,1,ELP,GUA,1,145
2015,1,ELP,GUA,1,146
2015,1,ELP,MEX,1,1050
2015,1,ELP,SAL,1,150
2015,1,ELP,SAL,1,148
2015,1,EWR,BSL,0,2
2015,1,EWR,IEV,0,1
2015,1,EWR,LBG,0,2
2015,1,EWR,MAN,0,1
2015,1,EWR,SCL,0,2
2015,1,EWR,YVR,0,3
2015,1,EWR,YYZ,1,222
2015,1,FAI,FUK,0,396
2015,1,FAI,HIJ,0,326
2015,1,FAI,KIX,0,201
2015,1,FAI,NRT,0,693
2015,1,FAR,CUN,1,135
2015,1,FAR,SJD,1,158
2015,1,FAR,SJD,1,162
2015,1,FAR,VKO,0,7
2015,1,FAT,SJD,1,293
2015,1,FLL,BIM,1,2
2015,1,FLL,HAV,1,757
2015,1,FLL,NBW,1,94
2015,1,FLL,SXM,0,1
2015,1,FLL,YVR,1,141
2015,1,FLL,YWG,1,50
2015,1,FLL,YYZ,1,488
2015,1,FLL,YYZ,0,14
2015,1,FRG,YUL,1,86
2015,1,FRG,YVR,1,49
2015,1,FSD,SJD,1,152
2015,1,GEG,YVR,0,8
2015,1,GRI,CUN,1,150
2015,1,GUM,HIJ,1,96
2015,1,GUM,HND,0,513
2015,1,GUM,NGO,0,235
2015,1,GUM,TAK,0,217
2015,1,HNL,CTS,0,734
2015,1,HNL,HIJ,0,290
2015,1,HNL,HKD,0,548
2015,1,HNL,HND,0,871
2015,1,HNL,KIJ,0,464
2015,1,HNL,KMQ,0,272
2015,1,HPN,AXA,0,2
2015,1,HPN,GVA,0,5
2015,1,HPN,YTZ,1,18
2015,1,HPN,ZRH,0,2
2015,1,IAD,BUD,1,82
2015,1,IAD,CIA,0,2
2015,1,IAD,FRA,0,2
2015,1,IAD,LTN,0,4
2015,1,IAD,OTP,1,825
2015,1,IAD,PRG,1,45
2015,1,IAD,YEG,0,30
2015,1,IAD,YHZ,0,5
2015,1,IAD,YUL,1,92
2015,1,IAD,YYZ,1,94
2015,1,IAH,LAD,1,2732
2015,1,ICT,YVR,0,8
2015,1,IND,CUN,1,70
2015,1,IND,CUN,1,250
2015,1,IND,PUJ,1,162
2015,1,IND,SKB,1,1993
2015,1,IND,VIE,0,12
2015,1,IND,YYZ,1,92
2015,1,IND,YYZ,1,42
